Fon Kodu,Değerleme Tarihi,Birim Pay Fiyatı,Para Birimi,Toplam Fon Değeri,Pay Adedi,Günlük Getiri (%),Yilbasindan %,Son 1 Aylık Getiri (%),Son 3 Aylık Getiri (%),Son 6 Aylık Getiri (%),Son 1 Yıllık Getiri (%)
FYI,17.09.2026,"11,190502",TL,"82.107.870,96 TL",7.337.282,0.6867,67.0072,9.5067,9.6156,36.497,49.5286
FYM,17.09.2026,"0,448179",TL,"338.489.364,50 TL",755.254.621,-0.1056,14.7711,1.2573,6.1349,12.4448,23.5879
FYZ,17.09.2026,"5,881594",TL,"255.359.273,17 TL",43.416.680,3.593,10.8121,-1.2682,-3.0649,-1.0281,13.8409
GBC,17.09.2026,"0,312871",TL,"262.789.510,76 TL",839.929.757,0.946,25.3173,-1.5352,2.0633,22.9143,35.8873
GBL,17.09.2026,"0,892833",TL,"4.301.250.673,50 TL",4.817.531.659,0.0742,30.1426,3.1477,9.8911,21.0777,45.9882
GBZ,17.09.2026,"3,605458",TL,"1.169.534.250,96 TL",324.378.801,0.2554,31.0879,3.4309,6.1424,11.0888,46.1397
GL1,17.09.2026,"1.472,457207",TL,"1.561.034.343,15 TL",1.060.156,3.2357,21.4178,-1.3787,0.7852,9.2169,35.4298
GLS,17.09.2026,"0,174883",TL,"1.098.346.445,46 TL",6.280.479.221,0.0876,29.2825,2.9244,9.4654,19.805,43.7225
GMA,17.09.2026,"2,205684",TL,"2.293.629.305,59 TL",1.039.871.969,1.5039,30.4,3.3253,9.3186,20.2816,45.7145
GMO,17.09.2026,"2,775988",TL,"2.204.065.221,38 TL",793.974.932,-2.3573,-9.0699,-16.6637,-8.7923,-11.6368,-18.2947
GNK,17.09.2026,"69,834087",TL,"488.886.306,63 TL",7.000.683,0.5914,17.2406,0.9561,5.4814,13.4667,25.1658
GP1,17.09.2026,"3,923171",TL,"179.348.251,10 TL",45.715.125,1.6284,22.5712,-2.9203,-0.5482,10.3925,23.8928
GRG,17.09.2026,"1,352471",TL,"115.491.523,25 TL",85.392.949,-0.0404,35.2724,1.0991,5.2717,NULL,NULL
GSE,17.09.2026,"66,229484",TL,"1.418.047.108,78 TL",21.411.115,-0.0345,17.5761,2.0119,6.5335,12.6865,24.7297
GSG,17.09.2026,"71,714093",TL,"87.210.935,05 TL",1.216.092,-0.0827,13.8968,1.0404,4.7947,11.1024,18.3785
GSL,17.09.2026,"3,560872",TL,"51.774.354,84 TL",14.539.796,0.0986,26.664,3.5217,10.7328,20.3359,34.2096
